Time,Cumulative Area,# of Detected Areas
2.14,920.968,7
6.8,920.968,8
13.94,920.968,4
20.91,920.968,1
27.81,920.968,2
34.84,920.968,3
42.42,920.968,3
49.13,921.4479,5
56.32,920.968,5
63.5,920.968,7
71.15,920.968,5
78.53,921.775,6
84.48,920.968,7
93.05,921.3948,9
99.41,920.968,5
105.93,313.92,34
112.84,295.1671,30
119.72,920.968,4
126.65,920.968,1
133.65,920.968,2
141.59,575.3271,38
148.26,245.8618,26
154.98,920.968,3
162.19,920.968,8
170.67,920.968,14
176.29,920.968,6
