Power Level,current,voltage,power
0.0,0.0,0.8075,0
0.01,1.25,0.80625,0
0.02,0.0,0.8075,0
0.03,0.0,0.80625,0
0.04,0.0,0.8075,0
0.05,0.0,0.8075,0
0.06,0.0,0.8075,0
0.07,0.0,0.8075,0
0.08,1.25,0.80875,0
0.09,0.0,0.80625,0
0.1,0.0,0.80625,0
0.11,0.0,0.8075,0
0.12,0.0,1.00625,0
0.13,-1.25,1.20375,0
0.14,0.0,1.5025,0
0.15,-1.25,1.70375,0
0.16,-1.25,1.9975,0
0.17,1.25,2.2975,0
0.18,1.25,2.4975,0
0.19,0.0,2.795,0
0.2,1.25,3.09875,0
0.21,0.0,3.29875,0
0.22,0.0,3.5975,0
0.23,0.0,3.79625,0
0.24,0.0,4.09625,0
0.25,0.0,4.3950000000000005,0
0.26,0.0,4.595,0
0.27,0.0,4.8950000000000005,0
0.28,0.0,5.1925,10
0.29,0.0,5.3975,10
0.3,0.0,5.6975,10
0.31,0.0,5.8975,0
0.32,-1.25,6.19625,0
0.33,0.0,6.495,10
0.34,0.0,6.6975,0
0.35000000000000003,1.25,6.99625,10
0.36,0.0,7.296250000000001,10
0.37,-1.25,7.4975000000000005,10
0.38,-1.25,7.8012500000000005,10
0.39,0.0,8.09625,0
0.4,0.0,8.29625,10
0.41000000000000003,-1.25,8.59625,30
0.42,-1.25,8.79625,10
0.43,-1.25,9.0975,0
0.44,0.0,9.39375,10
0.45,1.25,9.595,10
0.46,-1.25,9.895,0
0.47000000000000003,0.0,10.09375,10
0.48,0.0,10.39,10
0.49,0.0,10.59125,10
0.5,0.0,10.89125,0
0.51,-1.25,11.19375,10
0.52,0.0,11.39375,0
0.53,0.0,11.69125,10
0.54,-1.25,11.99125,10
0.55,0.0,12.19125,10
0.56,0.0,12.4925,10
0.5700000000000001,0.0,12.69,0
0.58,0.0,12.99,0
0.59,-1.25,13.29125,10
0.6,0.0,13.4925,0
0.61,1.25,13.790000000000001,0
0.62,0.0,13.99,0
0.63,0.0,14.2925,0
0.64,0.0,14.595,0
0.65,1.25,14.79125,0
0.66,1.25,15.09375,0
0.67,0.0,15.39625,30
0.68,0.0,15.59625,30
0.6900000000000001,-1.25,15.8975,0
0.7000000000000001,0.0,16.095,0
0.71,0.0,16.39375,30
0.72,-1.25,16.6925,0
0.73,0.0,16.89,30
0.74,0.0,17.19125,30
0.75,0.0,17.48875,0
0.76,1.25,17.68625,30
0.77,0.0,17.9875,0
0.78,0.0,18.185,0
0.79,0.0,18.48375,0
0.8,1.25,18.77875,30
0.81,0.0,18.98375,30
0.8200000000000001,0.0,19.28,0
0.8300000000000001,0.0,19.47875,0
0.84,0.0,19.78,30
0.85,0.0,19.9775,30
0.86,-1.25,20.2775,0
0.87,0.0,20.575,0
0.88,-1.25,20.77625,0
0.89,0.0,21.0775,30
0.9,-1.25,21.37625,0
0.91,1.25,21.5775,30
0.92,0.0,21.87625,0
0.93,0.0,22.0775,30
0.9400000000000001,0.0,22.37375,0
0.9500000000000001,0.0,22.677500000000002,0
0.96,0.0,22.97625,0
0.97,0.0,23.173750000000002,0
0.98,0.0,23.47375,0
0.99,0.0,23.677500000000002,0
