Elapsed Time,KHCO3 In (kPa),KHCO3 Out (kPa),CO2 In (kPa),CO2 Out (kPa),Current (mA),Voltage (V),Power (mW),CO2 Flow Rate (SCCM)
16.73,1037.2526144169965,968,963.0333135883475,960.7166573597208,0.0,0.8075,0,0.08000244148075808
16.8,1037.6237622910876,955,963.0371663344454,960.7058696706468,-1.25,0.8075,0,0.08000244148075808
16.86,1037.6418701977475,959,962.963322034237,960.7270597741849,0.0,0.8075,0,0.08000244148075808
16.94,1037.742426870901,959,962.8926883557767,960.6284294740803,1.25,0.8125,0,0.08000244148075808
16.99,1037.7487196895274,961,962.8923030811668,960.8463664783478,0.0,1.21875,0,0.08000244148075808
17.05,1037.7931546945224,968,963.005830666183,960.7179416084201,0.0,1.99625,0,0.08000244148075808
17.12,1037.9178552432222,963,962.9470120757561,960.7664862092528,0.0,3.2675,0,0.08000244148075808
17.17,1038.4066402981673,954,962.8747088739868,960.911863162011,0.0,4.0775,0,0.08000244148075808
17.22,1038.399962204931,957,963.0708136503664,960.7933270070677,1.25,4.4675,0,0.08000244148075808
17.26,1038.3722224330268,953,962.9493237234148,960.8943973797008,0.0,4.64125,0,0.08000244148075808
17.3,1038.4539006503007,961,962.879589019044,960.7687978569114,-1.25,4.765,0,0.08000244148075808
17.33,1038.5803991471794,957,962.9172175059329,960.8060410691905,0.0,4.83375,0,0.08000244148075808
17.37,1038.7316836439543,966,962.8680307807506,960.8884898356841,0.0,4.88625,0,0.08000244148075808
17.41,1038.8547146693452,965,962.938407609471,960.8920857320421,0.0,4.91625,0,0.08000244148075808
17.44,1038.968755953841,964,962.9326284903242,960.7294998467136,0.0,4.94125,0,0.08000244148075808
17.48,1039.1441843261623,960,962.8210272783571,960.8259469240293,-1.25,4.95875,0,0.08000244148075808
17.51,1039.0943554766304,968,962.9687158787739,960.6962378054022,1.25,4.9675,0,0.08000244148075808
17.55,1039.0939702020207,950,962.8865239620202,960.8604932140399,0.0,4.9750000000000005,0,0.08000244148075808
17.59,1039.1369925334463,965,962.9172175059329,960.9037723952055,1.25,4.97875,0,0.08000244148075808
17.62,1039.1477802225204,963,962.9512500964638,960.638061339325,-1.25,4.98125,0,0.08000244148075808
17.66,1039.288919154571,954,962.9396918581702,960.7253902508759,1.25,4.985,0,0.08000244148075808
17.7,1039.511094179546,969,962.9463699514065,960.6994484271505,-1.25,4.9875,0,0.08000244148075808
17.75,1039.6242364899522,952,962.9515069462036,960.7185837327696,0.0,4.9887500000000005,0,0.08000244148075808
17.79,1039.7039883341774,961,962.7539894962547,960.78921741123,0.0,4.9887500000000005,0,0.08000244148075808
17.83,1039.7679439194014,952,962.8207704286172,960.8281301468181,1.25,4.99,0,0.08000244148075808
17.87,1039.8232950383403,968,962.9598545627489,960.8547140948931,0.0,4.9887500000000005,0,0.08000244148075808
17.9,1039.8798019811086,962,962.9107962624364,960.8089948411988,0.0,4.99,0,0.08000244148075808
17.94,1039.9867798977584,959,963.0117382101996,960.7758612247575,-1.25,4.99125,0,0.08000244148075808
17.98,1040.0205556385492,965,962.9954282517189,960.7436265824057,2.5,4.99125,0,0.08000244148075808
18.01,1040.1881500938052,969,963.0195721272653,960.7663577843828,-1.25,4.9887500000000005,0,0.08000244148075808
18.05,1040.2444001868334,967,962.9264640965677,960.6833953184095,0.0,4.99,0,0.08000244148075808
18.09,1040.4055733985927,958,963.0123803345493,960.8413579084206,0.0,4.99125,0,0.08000244148075808
18.12,1039.7738514634182,950,963.0265070702415,960.830184944737,1.25,4.99125,0,0.08000244148075808
18.16,1040.4412755124326,967,963.0962417746122,960.8291575457775,0.0,4.99125,0,0.08000244148075808
18.19,1040.6019350247122,966,963.0180310288262,960.813874986256,-1.25,4.99125,0,0.08000244148075808
18.22,1040.6711560296033,963,962.9493237234148,960.869226105195,0.0,4.9925,0,0.08000244148075808
18.26,1040.90835676436,950,962.9833563139457,960.7669999087325,-1.25,4.99125,0,0.08000244148075808
18.29,1040.9834853132677,958,962.9927313294504,960.7278303234044,-1.25,4.99125,0,0.08000244148075808
18.32,1040.9802746915195,965,962.9801456921974,960.8089948411988,0.0,4.9925,0,0.08000244148075808
18.36,1040.886781386212,950,962.9547175679518,960.743112882926,1.25,4.9925,0,0.08000244148075808
18.39,1040.931473240947,961,963.050394096048,960.7811266444245,0.0,4.99125,0,0.08000244148075808
18.42,1041.1586568358491,970,962.9706422518228,960.8584384161211,0.0,4.9925,0,0.08000244148075808
18.46,1041.070043675599,967,962.9620377855376,960.7545426963494,0.0,4.99,0,0.08000244148075808
18.49,1041.2756518923534,963,962.8661044077016,960.7707242299604,0.0,4.9925,0,0.08000244148075808
18.52,1041.3397359024473,954,962.9899059823119,960.7567259191383,1.25,4.9925,0,0.08000244148075808
18.56,1041.555104409316,962,962.97565082175,960.8384041364124,0.0,4.99125,0,0.08000244148075808
18.6,1041.4926899225313,960,962.8875513609796,960.8357072141438,0.0,4.9925,0,0.08000244148075808
18.77,1041.5805325335618,955,962.7563011439134,960.8289006960376,0.0,4.99375,0,0.08000244148075808
18.81,1041.7532639836147,959,962.7970118276804,960.6505185517079,0.0,4.99125,0,0.08000244148075808
18.85,1041.937682096831,963,962.9339127390234,960.7391317119581,-1.25,4.9925,0,0.08000244148075808
18.91,1042.0682901895475,956,962.8901198583782,960.6403729869837,1.25,4.99375,0,0.08000244148075808
18.94,1042.070730262076,970,962.8723972263281,960.7337378674212,1.25,4.99375,0,0.08000244148075808
18.97,1042.1047628526069,967,962.9766782207095,960.7596796911465,0.0,4.99125,0,0.08000244148075808
19.01,1042.2127681682161,958,962.996969350158,960.7253902508759,2.5,4.9925,0,0.08000244148075808
19.04,1042.34838483086,970,962.9737244487011,960.7214090799081,0.0,4.99125,0,0.08000244148075808
19.07,1042.518676208384,959,963.0453855261208,960.703814872728,0.0,4.9925,0,0.08000244148075808
19.11,1042.594960581121,958,962.9892638579623,960.8128475872967,0.0,4.9925,0,0.08000244148075808
19.14,1042.6505685498,950,963.0104539615004,960.7139604374522,-1.25,4.99125,0,0.08000244148075808
19.18,1042.5891814619745,967,962.9471405006261,960.7137035877124,0.0,4.9925,0,0.08000244148075808
19.21,1042.6702175548987,968,962.9271062209174,960.7616060641955,1.25,4.9925,0,0.08000244148075808
19.25,1042.5551488714436,955,962.9032191951108,960.7098508416145,0.0,4.9925,0,0.08000244148075808
19.28,1042.6372123633275,955,962.9251798478683,960.757239618618,0.0,4.9925,0,0.08000244148075808
19.32,1042.6863990885097,959,962.8712414024988,960.7501762507719,-1.25,4.9925,0,0.08000244148075808
19.35,1042.7334025909033,960,962.9688443036438,960.6552702718953,-1.25,4.99125,0,0.08000244148075808
19.39,1042.9798499162946,962,962.9589555886594,960.8231215768908,1.25,4.9925,0,0.08000244148075808
19.42,1043.2241140188974,965,962.8519776720095,960.8839949652366,1.25,4.99125,0,0.08000244148075808
19.47,1043.2438914488662,955,962.9655052570257,960.7596796911465,0.0,4.99125,0,0.08000244148075808
19.51,1043.0798928899683,969,962.9109246873064,960.6678559091482,2.5,4.99125,0,0.08000244148075808
19.55,1043.1281806410611,964,962.8125512369418,960.6884038883367,-1.25,4.9925,0,0.08000244148075808
19.58,1043.3066912102609,969,962.88665238689,960.7862636392216,1.25,4.9925,0,0.08000244148075808
19.62,1043.391580049283,967,962.9073287909484,960.7283440228841,0.0,4.9925,0,0.08000244148075808
