Elapsed Time,KHCO3 In (kPa),KHCO3 Out (kPa),CO2 In (kPa),CO2 Out (kPa),Current (mA),Voltage (V),Power (mW),CO2 Flow Rate (SCCM)
0.07,1098.2224498400685,1000.0944194018393,981.6092004741779,979.6776904304645,-1.25,0.8075,0,28.80087893307291
0.23,1098.22000976754,1000.2575189866476,981.5137807958216,979.5845823997669,-1.25,0.80625,0,35.92109622486038
0.38,1098.0397012501614,1000.1045649665637,981.5710582878094,979.4941712913377,-20.0,0.93,30,28.640874050111393
0.53,1098.4510461085401,1000.1894538055859,981.5840291996722,979.6050019540854,-130.0,2.12625,280,31.20095217749565
0.68,1097.8534851887662,1000.1168937540767,981.5940463395265,979.6079557260937,-120.0,2.4175,290,28.2408618427076
0.81,1098.136405177217,1000.2625275565747,981.6211439870812,979.6080841509637,-102.5,2.46875,260,32.96100589007233
0.85,1098.2835800781543,1000.0994279717665,981.5723425365086,979.534496700495,-98.75,2.47375,240,29.360896023438215
0.89,1098.1212510425655,1000.2033236915381,981.4927191171535,979.5865087728158,-95.0,2.4787500000000002,230,27.84084963530381
0.93,1098.0931259960514,1000.0994279717665,981.6211439870812,979.6591972491949,-92.5,2.48125,230,30.48093020416883
0.97,1098.0416276232104,1000.1415513291028,981.64104984192,979.4860805245323,-88.75,2.48375,220,28.560871608630634
1.01,1098.3651298705583,1000.2612433078755,981.5691319147605,979.6100105240125,-87.5,2.485,220,31.6809668263802
1.05,1098.3441966167602,1000.0454895263969,981.6084299249584,979.6968257360837,-85.0,2.485,200,29.440898464918973
1.09,1098.4799417042736,1000.1501557953881,981.513138671472,979.5555583791631,-82.5,2.48625,200,27.84084963530381
1.13,1098.1857203272693,1000.0082463141177,981.57015931372,979.7153189173533,-81.25,2.4875000000000003,190,30.720937528611106
1.19,1098.2019018608803,1000.1672363030883,981.5277791066437,979.5515772081955,-77.5,2.4875000000000003,190,28.640874050111393
1.25,1098.085035229246,1000.0054209669794,981.4336436769867,979.5669881925868,-75.0,2.4875000000000003,190,30.80093997009186
1.31,1098.1940679438146,999.8966451021506,981.4788492312013,979.5202415399331,-73.75,2.48875,180,31.040947294534135
1.37,1098.1712083169673,1000.1990856708304,981.538053096238,979.6285037052821,-71.25,2.4875000000000003,180,28.480869167149873
1.42,1098.403143632057,1000.2166798780106,981.64104984192,979.6353102233884,-70.0,2.48875,170,35.601086458937345
1.47,1098.2072957054172,1000.1095735364909,981.5083869512846,979.6968257360837,-71.25,2.48875,170,28.480869167149873
1.52,1098.2536570834611,1000.0635974330568,981.5953305882258,979.6476390109015,-67.5,2.49,170,31.76096926786096
1.57,1098.409821725293,1000.2012688936193,981.5646370443129,979.6733239848869,-66.25,2.48625,170,28.2408618427076
1.64,1098.577673030289,1000.1939486760333,981.5239263605459,979.5922878919624,-63.75,2.48875,150,30.48093020416883
1.71,1098.463760170663,999.9568763661467,981.6549197278722,979.6534181300481,-65.0,2.49,150,35.84109378337962
1.78,1098.3331520779464,1000.2252843442957,981.5706730131997,979.4914743690692,-62.5,2.49,150,28.00085451826533
1.84,1098.5749761080203,1000.1301215156793,981.5182756662691,979.4069708046568,-61.25,2.48875,150,29.680905789361248
1.89,1098.4807122534933,999.9645818583424,981.5672055417115,979.5197278404534,-60.0,2.49,150,27.84084963530381
1.93,1098.5130753207152,999.9119276616719,981.5180188165292,979.466945218913,-60.0,2.49,140,30.80093997009186
1.98,1098.4281864816928,1000.2843597844625,981.4717858633553,979.6442999642833,-60.0,2.48875,140,28.080856959746086
2.02,1098.303614357863,1000.0566624900806,981.497213987601,979.600250233898,-58.75,2.49,140,31.840971709341716
2.06,1098.2409430213381,999.9974586250438,981.5672055417115,979.5983238608492,-58.75,2.4875000000000003,140,28.72087649159215
2.1,1098.413546046521,1000.0883834329527,981.5394657698071,979.4836404520036,-57.5,2.49,140,29.12088869899594
2.14,1098.2802410315362,1000.0190340031917,982.2483710518084,979.7462693110059,-57.5,2.49,140,29.920913113803522
2.17,1098.584351123525,1000.2894967792596,981.6297484533663,979.5690429905056,-56.25,2.49,140,27.920852076784573
2.21,1098.7493770813821,1000.0855580858143,981.5073595523252,979.4702842655311,-53.75,2.49125,140,31.6809668263802
2.25,1098.2935972180087,1000.072073474472,981.5602705987354,979.644685238893,-55.0,2.49,140,28.72087649159215
2.29,1098.3628182228997,1000.0895392567821,981.5525651065398,979.666132192171,-53.75,2.49,140,28.72087649159215
2.33,1098.41521556983,1001.168693438785,981.6833016241262,979.6527760056986,-56.25,2.49,130,30.080917996765038
2.37,1098.4597789996951,1000.3028529657321,981.7576596238144,979.6823137257819,-55.0,2.49,130,28.00085451826533
2.41,1098.5991199835667,1001.6732747527312,981.5907072929084,979.6694712387891,-53.75,2.48875,130,32.16098147526475
2.45,1098.652159454847,1000.1620993082912,981.5821028266231,979.5922878919624,-53.75,2.49125,130,28.72087649159215
2.49,1098.7510466046913,1000.1175358784263,981.5717004121591,979.523709011421,-53.75,2.48875,130,29.040886257515183
2.56,1098.2842222025038,1000.2612433078755,981.5868545468105,979.5368083481537,-53.75,2.48875,130,28.40086672566912
2.6,1098.2274584099957,1000.0552498165114,981.5489692101818,979.5817570526284,-51.25,2.49125,130,36.001098666341136
2.7,1098.3755322850225,1000.0741282723908,981.6156217176743,979.5582553014317,-51.25,2.49125,130,28.80087893307291
2.89,1098.591671341111,1000.1143252566782,981.6364265466026,979.5933152909219,-48.75,2.49,120,30.80093997009186
2.93,1098.4608063986545,1000.1472020233796,981.5630959458738,979.504188431192,-48.75,2.49,120,29.760908230842006
3.0,1098.6132467192588,1000.1099588111006,981.5444743397344,979.6457126378524,-48.75,2.49125,120,29.12088869899594
3.04,1098.4197104402776,1000.1847020853985,981.5153218942608,979.657014026406,-47.5,2.49125,120,28.880881374553663
3.08,1098.2865338501624,1000.0162086560533,981.6753392821906,979.4625787733355,-48.75,2.49125,120,27.84084963530381
3.12,1098.1531004103076,1000.2632981057943,981.5002961844792,979.657399301016,-47.5,2.49125,120,30.640935087130345
3.17,1098.2170559955316,1000.2632981057943,981.5537209303692,979.524094286031,-46.25,2.4925,120,28.00085451826533
3.21,1098.392484367853,1000.0966026246281,981.6759814065404,979.5595395501309,-46.25,2.49125,120,31.20095217749565
3.25,1098.3899158704544,1000.1195906763452,981.5630959458738,979.6469968865517,-46.25,2.4925,120,28.640874050111393
3.29,1098.518726014992,1000.1314057643785,981.4622824229806,979.534496700495,-46.25,2.49,120,32.320986358226264
3.33,1098.312475673888,1000.2527672664602,981.6129247954058,979.5535035812443,-45.0,2.49125,120,29.360896023438215
3.37,1098.1670987211296,1000.1230581478331,981.5214862880173,979.5622364723994,-45.0,2.49125,120,27.760847193823057
3.42,1098.2923129693093,999.9783233194247,981.576965831826,979.557613177082,-45.0,2.49,120,30.720937528611106
3.5,1098.1349925036477,1000.1189485519956,981.5752963085171,979.5220394881121,-43.75,2.49,120,28.160859401226844
3.55,1098.4081522019842,1000.168135277178,981.7097571473313,979.4027327839491,-45.0,2.49125,120,28.480869167149873
3.6,1098.2757461610886,1000.0905666557416,981.5764521323463,979.6154043685494,-42.5,2.49,120,36.001098666341136
3.64,1098.2176981198813,999.9391537340966,981.5062037284958,979.6534181300481,-43.75,2.4925,120,28.72087649159215
3.69,1098.1017304623365,999.9604722625047,981.5917346918678,979.4140341725027,-43.75,2.49125,100,31.20095217749565
3.73,1098.2765167103082,1000.1549075155752,981.5959727125753,979.5317997782266,-43.75,2.49125,120,29.2008911404767
3.78,1098.3806692798196,999.98667093597,981.4708868892657,979.5730241614733,-43.75,2.4925,100,27.760847193823057
3.82,1098.4001898600486,999.9679209049605,981.5399794692868,979.534496700495,-42.5,2.49125,100,30.080917996765038
3.86,1098.460035849435,1000.121645474264,981.5159640186104,979.5965259126701,-42.5,2.49125,100,28.00085451826533
3.9,1098.2126895499541,1000.2055069143269,981.5452448889539,979.5018767835334,-41.25,2.49125,100,32.320986358226264
3.94,1098.1977922650426,1000.1237002721829,981.5420342672056,979.6436578399336,-42.5,2.4925,100,28.80087893307291
3.98,1098.3643593213387,1000.0600015366988,981.5051763295364,979.5556868040331,-41.25,2.49125,100,28.640874050111393
4.02,1098.43319505162,999.9345304387792,981.5986696348439,979.5838118505472,-42.5,2.4925,100,30.00091555528428
4.07,1098.5979641597373,1000.1118851841495,981.5484555107021,979.5583837263016,-41.25,2.49,120,27.760847193823057
4.11,1098.3937686165523,1000.290524178219,981.5410068682462,979.566602917977,-42.5,2.49125,100,30.640935087130345
4.15,1098.3682120674366,999.958160614846,981.4674194177777,979.5061148042411,-41.25,2.4925,100,28.080856959746086
4.2,1098.3860631243565,1000.0244278477287,981.5678476660612,979.531029229007,-42.5,2.49125,100,35.52108401745659
4.24,1098.4251042848146,1000.0187771534519,981.5646370443129,979.4621934987257,-41.25,2.49,100,28.560871608630634
4.28,1098.4091796009436,1000.1510547694775,981.5891661944693,979.5388631460726,-41.25,2.4925,100,33.04100833155309
4.32,1098.5274589061469,1000.2296507898733,981.5878819457699,979.5482381615773,-40.0,2.4925,100,29.280893581957454
4.36,1098.4425700671247,1000.1285804172402,981.5874966711601,979.5431011667802,-41.25,2.4925,120,27.84084963530381
4.4,1098.3747617358028,1000.0512686455437,981.6307758523258,979.5317997782266,-40.0,2.4925,100,30.48093020416883
4.44,1098.3915853937635,1000.0269963451273,981.5035068062274,979.5246079855107,-38.75,2.49125,100,28.480869167149873
4.48,1098.4236916112454,1000.1650530802997,981.6564608263113,979.5657039438875,-40.0,2.49125,100,33.921035187841426
4.52,1098.5548134034416,1000.2422364271262,981.5795343292245,979.5371936227635,-40.0,2.4925,100,29.12088869899594
4.56,1098.5164143673333,999.9061485425253,981.593147365437,979.5371936227635,-40.0,2.49125,100,27.760847193823057
4.6,1098.5803699525572,1000.1951044998627,981.582359676363,979.5121507731276,-40.0,2.4925,100,30.560932645649586
4.69,1098.6994198069804,1000.0162086560533,981.5530788060195,979.5139487213065,-40.0,2.4925,100,27.760847193823057
4.84,1098.1659428973005,1000.0855580858143,981.5154503191307,979.5915173427429,-38.75,2.49375,100,30.640935087130345
4.99,1098.333537352556,1000.116380054597,981.5195599149683,979.5143339959164,-37.5,2.49125,100,27.84084963530381
5.03,1098.1617048765927,1000.0287942933062,981.5458870133035,979.6407040679253,-38.75,2.49,90,28.480869167149873
5.07,1098.3227496634822,1000.2125702821729,981.642847790099,979.5149761202659,-38.75,2.49125,90,35.76109134189886
5.11,1098.5002328337223,1000.0263542207776,981.5515377075803,979.6684438398297,-37.5,2.4925,100,28.960883816034425
