0.5031788349151611,X Postion,Y Postion,Radius
,[5.2301],[15.2784],6.36406135559082
,"[5.2301, 5.6078]","[15.2784, 10.0254]",5.656954288482666
,"[5.2301, 5.6078, 6.2716]","[15.2784, 10.0254, 12.0854]",14.866168975830078
,"[5.2301, 5.6078, 6.2716, 6.7408]","[15.2784, 10.0254, 12.0854, 4.0742]",22.34400177001953
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816]",11.433480262756348
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914]",17.321033477783203
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235, 13.0404]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914, 9.0412]",11.427091598510742
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235, 13.0404, 14.3223]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914, 9.0412, 9.1728]",8.852389335632324
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235, 13.0404, 14.3223, 14.6032]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914, 9.0412, 9.1728, 13.5274]",18.681640625
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235, 13.0404, 14.3223, 14.6032, 16.2819]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914, 9.0412, 9.1728, 13.5274, 10.4871]",18.40670394897461
""
1.925499439239502,X Postion,Y Postion,Radius
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235, 13.0404, 14.3223, 14.6032, 16.2819, 5.1844]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914, 9.0412, 9.1728, 13.5274, 10.4871, 15.267]",7.500100135803223
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235, 13.0404, 14.3223, 14.6032, 16.2819, 5.1844, 5.6078]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914, 9.0412, 9.1728, 13.5274, 10.4871, 15.267, 10.0254]",6.403224468231201
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235, 13.0404, 14.3223, 14.6032, 16.2819, 5.1844, 5.6078, 6.2793]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914, 9.0412, 9.1728, 13.5274, 10.4871, 15.267, 10.0254, 12.079]",14.303105354309082
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235, 13.0404, 14.3223, 14.6032, 16.2819, 5.1844, 5.6078, 6.2793, 6.798]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914, 9.0412, 9.1728, 13.5274, 10.4871, 15.267, 10.0254, 12.079, 3.9941]",21.639184951782227
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235, 13.0404, 14.3223, 14.6032, 16.2819, 5.1844, 5.6078, 6.2793, 6.798, 9.2789]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914, 9.0412, 9.1728, 13.5274, 10.4871, 15.267, 10.0254, 12.079, 3.9941, 12.0968]",11.419438362121582
,"[5.2301, 5.6078, 6.2716, 6.7408, 9.2739, 10.7235, 13.0404, 14.3223, 14.6032, 16.2819, 5.1844, 5.6078, 6.2793, 6.798, 9.2789, 10.7136]","[15.2784, 10.0254, 12.0854, 4.0742, 12.0816, 10.5914, 9.0412, 9.1728, 13.5274, 10.4871, 15.267, 10.0254, 12.079, 3.9941, 12.0968, 10.6156]",16.584915161132812
